"Pedon_ID","UTM_ID","H_number","Horizon","topDepth_cm","bottomDepth_cm","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma","texture","text_modifier","clay","sand","RF","Gravel","Cobbles","Stones","structure","dry_cons","moist_cons","stickiness","plasticity","roots","pores","pH","EC","Eff.","Boundary","CaCO3_meas","Gyp_meas","CaCO3_vis","Gyp_vis","concent_kind_.","pv_kind","pv_.","pv_distinct","pv_location","notes"
NA,"0037858_3734566",1,"A",0,20,NA,NA,NA,NA,NA,NA,"L","GRV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0037858_3734566",2,"Bk",20,40,NA,NA,NA,NA,NA,NA,"L","GRV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0037858_3734566",3,"R",40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ILLEGIBLE"
NA,"0300027_3703553",1,"A",0,3,NA,NA,NA,NA,NA,NA,"L","GR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0300027_3703553",2,"Bw",3,12,NA,NA,NA,NA,NA,NA,"L","GR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0300027_3703553",3,"R",12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","0310396_3658773",1,"C",0,10,"7.5YR",4,4,"7.5YR",3,4,"SL",NA,12,NA,25,15,10,NA,"1 W SBK","SH","FR","SS","SP","2 F T","2 M IG ; TOT",NA,NA,"ST","CW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","0310396_3658773",2,"Bk",10,50,"7.5YR",5,4,"7.5YR",4,4,"FSL",NA,10,NA,15,15,0,NA,"1 W SBK","SH","FR","SO","PO","1 F T","2 M IG ; TOT",NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10-50CM k=caco3 coat ON lava gravel&stone plus caco3 is disseminated restricted at 50cm deep"
"67","0310532_3658764",1,"C",0,10,"7.5YR",4,4,"7.5YR",4,3,"SL",NA,15,NA,20,20,NA,NA,"1 W SBK","SH","FR","SS","SP","1 F T","2 M IG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","0310580_3658671",1,"A",0,10,"7.5YR",4,3,"7.5YR",2.5,2,"L",NA,15,NA,15,15,NA,NA,"1 W SBK","SH","FR","SS","SP","1 F T","2 M IG ; TOT",NA,NA,"ST","GW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","0310580_3658671",2,"Bw",10,30,"7.5YR",3,4,"7.5YR",2.5,3,"L",NA,18,NA,25,15,10,NA,"1 W SBK","SH","FR","SS","SS","0","2 M IG ; TOT",NA,NA,"ST","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10-30K=caco3 coats on lava gravel & cobbles plus caco3 disseminated bag sample on east side of lava hill"
"72","0310764_3658750",1,"C",0,15,"7.5YR",5,3,"7.5YR",4,3,"L",NA,20,NA,35,25,10,NA,"1 W SBK","S","VFR","SS","SP","0","2M IG ; TOT",NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","0310809_3658747",1,"C",0,10,"7.5YR",4,4,"7.5YR",3,4,"SL",NA,12,NA,30,30,0,NA,"1 W SBK","SH","FR","SO","PO","1 F T","2 M IG ; TOT",NA,NA,NA,"GW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","0310809_3658747",2,"Bk",10,50,"7.5YR",5,3,"7.5YR",4,3,"FSL",NA,15,NA,45,35,10,NA,"1 W SBK","SH","FR","SS","SP","0","2 M IG ; TOT",NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10-50CM Bk=k=> caco3"
"83","0311248_3630052",1,"A",0,5,"7.5YR",6,3,"7.5YR",4,3,"FSL",NA,17,NA,27,25,2,NA,"1 W SBK","S","VFR","SO","PO","1 F","2 IG ; TOT",NA,NA,"ST","DW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","0311248_3630052",2,"Bk1",5,19,"7.5YR",6,4,"7.5YR",4,4,"FSL",NA,17,NA,40,35,5,NA,"SGR","S","VFR","SO","PO","1 F","2 IG ; TOT",NA,NA,"VE","GW",NA,NA,15,NA,NA,NA,NA,NA,NA,"5-19CM have 15%visible caco3"
"83","0311248_3630052",3,"Bk2",19,36,"7.5YR",6,4,"7.5YR",4,4,"L",NA,22,NA,48,40,8,NA,"SGR","SH","FR","SS","SP","0","2 IG ; TOT",NA,NA,"VE",NA,NA,NA,25,NA,NA,NA,NA,NA,NA,"19-36CM have 25%visible caco3 and CaCO3 coats on gravel cobbles ; restricted at 36 cm"
"82","0311350_3630273",1,"A",0,6,"7.5YR",4,4,"7.5YR",3,4,"SL",NA,18,NA,30,25,5,NA,"1 W SBK","S","VR","SO","PO","1 F","2 IG",NA,NA,"ST","GW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","0311350_3630273",2,"Bk1",6,20,"7.5YR",5,4,"7.5YR",4,4,"L",NA,21,NA,40,35,5,NA,"2 M SBK","S","VFR","SS","SP","2 F ; 1 MT",NA,NA,NA,"VE","GW",NA,NA,10,NA,NA,NA,NA,NA,NA,"6-20 CM have 10%visible caco3"
"82","0311350_3630273",3,"Bk2",20,35,"7.5YR",7,4,"7.5YR",6,4,"L",NA,22,NA,45,40,5,NA,"2 M SBK",NA,"n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20-35CM gravel cobbles = have CaCO3 coats"
"80","0311553_3630720",1,"A",0,8,"10YR",5,3,"10YR",3,3,"L",NA,20,NA,35,25,10,NA,"2 M SBK","S","VFR","SS","SP","2 F T","2 IG ; TOT",NA,NA,"ST","CS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","0311553_3630720",2,"Bk1",8,20,"10YR",5,3,"10YR",3,4,"L",NA,23,NA,40,35,5,NA,"2 M SBK","S","VFR","SS","SP","2 F T ; 2 M","2 IG ; TOT",NA,NA,"VE","GW",NA,NA,10,NA,NA,NA,NA,NA,NA,"8-20CM have 10%visible caco3"
"80","0311553_3630720",3,"Bk2",20,29,"10YR",4,3,"10YR",4,3,"L",NA,24,NA,55,45,10,NA,"1 F SBK","S","VFR","SS","SP","0","2 TOT",NA,NA,"VE",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,"20-29CM have visible 15%visible caco3"
"78","0311752_3631167",1,"A",0,6,"10YR",5,3,"10YR",4,3,"L",NA,21,NA,30,25,5,NA,"2 M SBK","S","VFR","SS","SP","1 F T","2 IG ; TOT",NA,NA,"ST","CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","0311752_3631167",2,"Bk",6,17,"10YR",5,4,"10YR",4,4,"SIL",NA,22,NA,35,25,10,NA,"1 F SBK","S","VFR","SS","SP","2 F T ; 1 MT","2 IG ; TOT",NA,NA,"VE","CS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-17 Visible caco3"
"78","0311752_3631167",3,"Bkk",17,45,"10YR",8,1,"10YR",7,1,"SIL",NA,22,NA,45,35,10,NA,"1 W SBK",NA,NA,"SS","SS","0","2 IG ; TOT",NA,NA,"VE",NA,NA,NA,55,NA,NA,NA,NA,NA,NA,"17-45cm have 55%visible caco3"
"77","0311852_3631393",1,"A",0,5,"10YR",5,3,"10YR",3,3,"FSL",NA,17,NA,37,30,7,NA,"1 F SBK","S","VFR","SO","PO","0","2 IG",NA,NA,"ST","DI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","0311852_3631393",2,"Bk",5,17,"10YR",6,3,"10YR",4,3,"L",NA,22,NA,50,40,10,NA,"1 F SBK","S","VFR","SS","SP","3 F T","2 IG ; TOT",NA,NA,"VE",NA,NA,NA,20,NA,NA,NA,NA,NA,NA,"5-17 have 20%visible caco3 restricted at 17cm"
"76","0311954_3631616",1,"A",0,4,"10YR",5,4,"10YR",4,4,"FSL",NA,17,NA,50,40,10,NA,"1 M SBK","S","VFR","SS","SP","0","2 IG ; TOT",NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","0312053_3631842",1,"A",0,5,"10YR",5,3,"10YR",4,3,"SIL",NA,18,NA,30,25,5,NA,"2 M SBK","SH","FR","SS","SP","1 F T","2 IG ; TOT",NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","0312053_3631842",2,"Bk1",5,15,"10YR",6,3,"10YR",4,3,"SIL",NA,21,NA,50,45,5,NA,"1 M SBK","S","VFR","SS","SP","8 F T ; 2 M T","2 IG ; TOT",NA,NA,"VE",NA,NA,NA,10,NA,NA,NA,NA,NA,NA,"5-15 cm have 10%visible caco3"
"75","0312053_3631842",3,"Bk2",15,33,"10YR",7,3,"10YR",4,4,"L",NA,22,NA,45,35,10,NA,"1 M SBK","S","VFR","SS","SP","1 F T","2 IG ; TOT",NA,NA,"VE",NA,NA,NA,27,NA,NA,NA,NA,NA,NA,"15-33 have 25-30%visible caco3"
"74","0312156_3632010",1,"A",0,4,"10YR",5,3,"10YR",4,3,"SICL",NA,28,NA,60,60,0,NA,"2 M SBK","SH","FR","MS","MP","1 F T","3 F IG ; TOT",NA,NA,"ST","SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"60% gravel for the A horizon is surface gravel"
