"utm_E","utm_N","utm_ID"
391819,3638975,"0391819_3638975"
391845,3638920,"0391845_3638920"
391868,3638847,"0391868_3638847"
391904,3638771,"0391904_3638771"
391976,3638714,"0391976_3638714"
392037,3638644,"0392037_3638644"
392125,3638540,"0392125_3638540"
392254,3638474,"0392254_3638474"
391200,3621527,"0391200_3621527"
348701,3692553,"0348701_3692553"
348771,3692282,"0348771_3692282"
366665,3712730,"0366665_3712730"
366666,3712763,"0366666_3712763"
366668,3712595,"0366668_3712595"
366669,3712858,"0366669_3712858"
389228,3720666,"0389228_3720666"
389249,3720682,"0389249_3720682"
358872,3647753,"0358872_3647753"
357418,3648193,"0357418_3648193"
357603,3648359,"0357603_3648359"
357489,3648273,"0357489_3648273"
357567,3648337,"0357567_3648337"
357640,3678389,"0357640_3678389"
389364,3715411,"0389364_3715411"
377104,3601503,"0377104_3601503"
376877,3601797,"0376877_3601797"
378408,3599112,"0378408_3599112"
346239,3680180,"0346239_3680180"
346247,3680502,"0346247_3680502"
346265,3680341,"0346265_3680341"
346267,3680235,"0346267_3680235"
392566,3628682,"0392566_3628682"
326728,3722539,"0326728_3722539"
380888,3600606,"0380888_3600606"
371749,3733928,"0371749_3733928"
371909,3733985,"0371909_3733985"
371072,3729503,"0371072_3729503"
371309,3731804,"0371309_3731804"
371337,3733882,"0371337_3733882"
371713,3733661,"0371713_3733661"
371783,3733674,"0371783_3733674"
372179,3733793,"0372179_3733793"
372377,3733782,"0372377_3733782"
372435,3733901,"0372435_3733901"
372507,3733980,"0372507_3733980"
372658,3734072,"0372658_3734072"
377255,3731808,"0377255_3731808"
377287,3731754,"0377287_3731754"
371626,3733893,"0371626_3733893"
366050,3607065,"0366050_3607065"
366077,3607015,"0366077_3607015"
366123,3606970,"0366123_3606970"
366146,3606913,"0366146_3606913"
366184,3606878,"0366184_3606878"
366235,3606819,"0366235_3606819"
366258,3606745,"0366258_3606745"
366327,3606691,"0366327_3606691"
366381,3606623,"0366381_3606623"
338517,3742813,"0338517_3742813"
357887,3752617,"0357887_3752617"
358680,3752705,"0358680_3752705"
390875,3587507,"0390875_3587507"
390985,3587525,"0390985_3587525"
391095,3587542,"0391095_3587542"
391205,3587559,"0391205_3587559"
391315,3587577,"0391315_3587577"
362591,3729065,"0362591_3729065"
363177,3729166,"0363177_3729166"
364350,3729369,"0364350_3729369"
364936,3729471,"0364936_3729471"
367868,3729979,"0367868_3729979"
368279,3725935,"0368279_3725935"
337209,3735730,"0337209_3735730"
337701,3735907,"0337701_3735907"
358979,3752752,"0358979_3752752"
360313,3752929,"0360313_3752929"
336271,3735389,"0336271_3735389"
358204,3752652,"0358204_3752652"
359415,3752828,"0359415_3752828"
361562,3753293,"0361562_3753293"
361237,3753280,"0361237_3753280"
334323,3735210,"0334323_3735210"
334603,3735208,"0334603_3735208"
360778,3752972,"0360778_3752972"
335931,3735247,"0335931_3735247"
335048,3735211,"0335048_3735211"
335485,3735222,"0335485_3735222"
336782,3735574,"0336782_3735574"
403170,3625294,"0403170_3625294"
400311,3642340,"0400311_3642340"
363198,3647576,"0363198_3647576"
363243,3647673,"0363243_3647673"
392183,3727963,"0392183_3727963"
365075,3725297,"0365075_3725297"
365522,3729573,"0365522_3729573"
366109,3729674,"0366109_3729674"
366557,3728394,"0366557_3728394"
366630,3728199,"0366630_3728199"
366740,3729709,"0366740_3729709"
366777,3727809,"0366777_3727809"
334052,3735213,"0334052_3735213"
366520,3728491,"0366520_3728491"
360163,3646925,"0360163_3646925"
360163,3646925,"0360163_3646925"
338888,3743067,"0338888_3743067"
338975,3743137,"0338975_3743137"
339971,3742111,"0339971_3742111"
340276,3741925,"0340276_3741925"
340563,3741773,"0340563_3741773"
340665,3741689,"0340665_3741689"
340732,3741638,"0340732_3741638"
340800,3741587,"0340800_3741587"
366160,3729588,"0366160_3729588"
338453,3742545,"0338453_3742545"
344243,3739321,"0344243_3739321"
344301,3739384,"0344301_3739384"
344400,3739415,"0344400_3739415"
344540,3739462,"0344540_3739462"
344712,3739571,"0344712_3739571"
338279,3742406,"0338279_3742406"
338366,3742476,"0338366_3742476"
338557,3742650,"0338557_3742650"
338644,3742754,"0338644_3742754"
338714,3742859,"0338714_3742859"
340028,3741858,"0340028_3741858"
326018,3706705,"0326018_3706705"
344619,3739540,"0344619_3739540"
344791,3739603,"0344791_3739603"
344838,3739618,"0344838_3739618"
344947,3739634,"0344947_3739634"
401509,3616970,"0401509_3616970"
401587,3616924,"0401587_3616924"
401654,3616881,"0401654_3616881"
401755,3616812,"0401755_3616812"
401794,3616753,"0401794_3616753"
401845,3616714,"0401845_3616714"
401894,3616685,"0401894_3616685"
401952,3616665,"0401952_3616665"
402834,3645665,"0402834_3645665"
402127,3616635,"0402127_3616635"
402220,3645491,"0402220_3645491"
376080,3687820,"0376080_3687820"
376215,3687936,"0376215_3687936"
376375,3688024,"0376375_3688024"
342830,3537198,"0342830_3537198"
342903,3537248,"0342903_3537248"
342757,3537153,"0342757_3537153"
312296,3603073,"0312296_3603073"
381886,3726195,"0381886_3726195"
372413,3709025,"0372413_3709025"
379089,3738245,"0379089_3738245"
380160,3741381,"0380160_3741381"
380180,3741443,"0380180_3741443"
380196,3741508,"0380196_3741508"
380260,3741552,"0380260_3741552"
380342,3741563,"0380342_3741563"
379115,3738097,"0379115_3738097"
344421,3684767,"0344421_3684767"
347421,3730454,"0347421_3730454"
362543,3733538,"0362543_3733538"
370530,3613415,"0370530_3613415"
370569,3612306,"0370569_3612306"
370584,3613294,"0370584_3613294"
370678,3612452,"0370678_3612452"
370691,3612142,"0370691_3612142"
376679,3616395,"0376679_3616395"
376756,3616446,"0376756_3616446"
376793,3616470,"0376793_3616470"
376831,3616497,"0376831_3616497"
376944,3616466,"0376944_3616466"
376986,3616445,"0376986_3616445"
376916,3616494,"0376916_3616494"
377019,3616416,"0377019_3616416"
377044,3616378,"0377044_3616378"
392182,3634655,"0392182_3634655"
392202,3634610,"0392202_3634610"
392268,3634544,"0392268_3634544"
392268,3634497,"0392268_3634497"
392130,3634768,"0392130_3634768"
392153,3634691,"0392153_3634691"
392235,3634576,"0392235_3634576"
392303,3634395,"0392303_3634395"
392275,3634447,"0392275_3634447"
393422,3654577,"0393422_3654577"
392128,3634727,"0392128_3634727"
393458,3654529,"0393458_3654529"
393425,3654614,"0393425_3654614"
393447,3654556,"0393447_3654556"
370688,3601254,"0370688_3601254"
326749,3719307,"0326749_3719307"
370618,3600628,"0370618_3600628"
369785,3600805,"0369785_3600805"
369813,3600632,"0369813_3600632"
369836,3601445,"0369836_3601445"
369911,3601251,"0369911_3601251"
