"","pedon_id","utm_east","utm_north","topdepth_cm","botdepth_cm","gyp_FINAL","gyp_tier"
"1",NA,-942816.512555251,1140732.83371304,0,3,21,"estimated"
"2",NA,-942816.512555251,1140732.83371304,3,25,21,"estimated"
"3",NA,-942796.090834643,1140675.26576515,0,3,21,"estimated"
"4",NA,-942796.090834643,1140675.26576515,3,30,21,"estimated"
"5",NA,-942780.375096083,1140599.95166469,0,8,21,"estimated"
"6",NA,-942780.375096083,1140599.95166469,8,20,21,"estimated"
"7",NA,-942780.375096083,1140599.95166469,20,41,0,"estimated"
"8",NA,-942780.375096083,1140599.95166469,41,76,21,"estimated"
"9",NA,-942780.375096083,1140599.95166469,76,102,21,"estimated"
"10",NA,-942752.083913222,1140520.39642992,0,8,21,"estimated"
"11",NA,-942752.083913222,1140520.39642992,8,51,21,"estimated"
"12",NA,-942752.083913222,1140520.39642992,51,76,21,"estimated"
"13",NA,-942752.083913222,1140520.39642992,91,127,21,"estimated"
"14",NA,-942686.332966468,1140456.45172879,0,8,21,"estimated"
"15",NA,-942686.332966468,1140456.45172879,8,46,21,"estimated"
"16",NA,-942686.332966468,1140456.45172879,46,46,21,"estimated"
"17",NA,-942632.72225448,1140380.5302318,0,8,21,"estimated"
"18",NA,-942632.72225448,1140380.5302318,8,46,21,"estimated"
"19",NA,-942632.72225448,1140380.5302318,46,102,21,"estimated"
"20",NA,-942555.673119182,1140267.98260305,0,8,21,"estimated"
"21",NA,-942555.673119182,1140267.98260305,8,46,21,"estimated"
"22",NA,-942434.382262894,1140189.60332535,0,8,21,"estimated"
"23",NA,-942434.382262894,1140189.60332535,8,46,21,"estimated"
"24",NA,-945113.287835123,1123315.22912051,0,25,0,"estimated"
"25",NA,-945113.287835123,1123315.22912051,25,56,0,"estimated"
"26",NA,-945113.287835123,1123315.22912051,56,97,10,"estimated"
"27",NA,-945113.287835123,1123315.22912051,97,152,12,"estimated"
"28",NA,-960571.64288248,1217036.6444503,0,10,0,"estimated"
"29",NA,-960571.64288248,1217036.6444503,10,21,0,"estimated"
"30",NA,-960567.463245141,1217069.63293193,0,5,0,"estimated"
"31",NA,-960581.730789707,1216901.01824581,0,12,0,"estimated"
"32",NA,-960581.730789707,1216901.01824581,12,20,0,"estimated"
"33",NA,-960555.31113063,1217164.58833169,0,6,0,"estimated"
"34",NA,-960555.31113063,1217164.58833169,6,18,0,"estimated"
"35",NA,-937497.734134071,1222852.8684725,0,10,0,"estimated"
"36",NA,-937497.734134071,1222852.8684725,10,30,0,"estimated"
"37",NA,-974568.514666024,1152662.96526297,30,102,28,"estimated"
"38",NA,-974568.514666024,1152662.96526297,102,152,35,"estimated"
"39",NA,-975886.42565752,1153315.72614404,0,3,0,"estimated"
"40",NA,-975886.42565752,1153315.72614404,3,152,0,"estimated"
"41",NA,-961002.266727074,1104606.97236841,0,66,0,"estimated"
"42",NA,-961002.266727074,1104606.97236841,66,102,10,"estimated"
"43",NA,-961002.266727074,1104606.97236841,102,137,15,"estimated"
"44",NA,-961198.560431397,1104922.97422651,0,10,0,"estimated"
"45",NA,-961198.560431397,1104922.97422651,10,76,2,"estimated"
"46",NA,-961198.560431397,1104922.97422651,76,112,8,"estimated"
"47",NA,-961198.560431397,1104922.97422651,112,132,15,"estimated"
